customer_id,full_name,email,city,state,loyalty_tier,signup_date,extracted_at
1,Allison Hill,donaldgarcia@example.net,New Roberttown,CO,Bronze,2025-07-22,2026-09-21T01:48:16
2,Jonathan Johnson,jennifermiles@example.com,South Bridget,AS,Bronze,2026-01-05,2026-09-21T01:48:16
3,Olivia Moore,jpeterson@example.org,Curtisfurt,CT,Silver,2025-08-19,2026-09-21T01:48:16
4,Gregory Baker,blairamanda@example.com,New Kellystad,OK,Silver,2025-06-27,2026-09-21T01:48:16
5,Benjamin Stanley,tracie31@example.com,Shawnstad,GA,Bronze,2025-05-01,2026-09-21T01:48:16
6,Daniel Adams,lynchgeorge@example.net,East Steven,KY,Bronze,2025-11-08,2026-09-21T01:48:16
7,Margaret Hawkins DDS,perezantonio@example.com,Adamsborough,PW,Gold,2025-04-26,2026-09-21T01:48:29
8,Sherri Edwards,pfoster@example.com,West Donald,WA,Bronze,2026-06-02,2026-09-21T01:48:16
9,Deborah Richards,icox@example.net,Daviston,VI,Gold,2026-01-08,2026-09-21T01:48:16
10,Mark Conner,ycarlson@example.com,Riceside,VI,Silver,2025-04-05,2026-09-21T01:48:16
11,Melanie Wilson,kayla51@example.com,Mooretown,VA,Silver,2025-09-09,2026-09-21T01:48:16
12,Deborah Mason,williamrodriguez@example.net,Meaganhaven,PA,Bronze,2026-03-13,2026-09-21T01:48:16
13,James Martin,georgetracy@example.org,Natashaport,IA,Platinum,2025-11-05,2026-09-21T01:48:16
14,Shawn Arroyo,dennislisa@example.net,East Donna,OH,Bronze,2026-03-09,2026-09-21T01:48:16
15,Joseph Obrien,sarahcampos@example.net,Lake Larry,TN,Bronze,2026-04-23,2026-09-21T01:48:16
16,Jessica Holmes,wrightcaleb@example.org,New Jeffrey,CA,Silver,2026-03-17,2026-09-21T01:48:16
17,Amy Jones,heathchad@example.org,Elizabethborough,ND,Silver,2025-05-13,2026-09-21T01:48:16
18,Timothy Duncan,esanchez@example.com,North Collin,NE,Platinum,2025-08-04,2026-09-21T01:48:16
19,Jason Shields,nuneztracey@example.org,South Jessicaville,IA,Bronze,2026-04-21,2026-09-21T01:48:16
20,Joshua Taylor,joshuawright@example.org,Mortonside,CT,Gold,2026-01-24,2026-09-21T01:48:16
21,Zachary Huff,housemelinda@example.org,Tuckerborough,VI,Silver,2026-04-04,2026-09-21T01:48:16
22,Anthony Gray,ybaker@example.com,Rodneyside,TN,Bronze,2025-06-09,2026-09-21T01:48:16
23,Brittney Phillips,rileyamy@example.net,Brianshire,NJ,Silver,2025-11-18,2026-09-21T01:48:16
24,Sarah Moore,yorkcasey@example.org,South David,FM,Gold,2025-06-19,2026-09-21T01:48:16
25,Lauren Williams,barnesbrandy@example.net,Sarahborough,TN,Bronze,2025-07-11,2026-09-21T01:48:16
26,Cynthia Foster,stephen10@example.com,North Amandahaven,KS,Gold,2026-07-07,2026-09-21T01:48:29
27,Gregory Jones,mikemoore@example.net,Cherylhaven,AL,Bronze,2026-04-07,2026-09-21T01:48:16
28,Kristen Huynh,mcmillandennis@example.org,Lake Angelaview,LA,Silver,2026-03-28,2026-09-21T01:48:29
29,Michelle Harris,william40@example.org,Calderonton,AL,Silver,2025-12-28,2026-09-21T01:48:16
30,Carlos Whitney,joycearnold@example.com,North Charlesberg,ND,Silver,2025-06-11,2026-09-21T01:48:16
31,Jacob Tran,tanderson@example.com,East William,AK,Bronze,2025-09-21,2026-09-21T01:48:29
32,Richard Henson,vdickson@example.org,Port Francisco,AS,Bronze,2025-12-05,2026-09-21T01:48:16
33,Sierra Johnson,kimberly63@example.com,Port Jacqueline,MS,Silver,2026-04-22,2026-09-21T01:48:29
34,Shannon Walker,ybailey@example.org,North Donna,MO,Silver,2025-11-09,2026-09-21T01:48:16
35,Sean Rasmussen,michael86@example.net,Sheilaville,FM,Bronze,2025-05-26,2026-09-21T01:48:16
36,Cassandra Estes,benjamin96@example.com,Samuelhaven,DE,Gold,2025-05-01,2026-09-21T01:48:16
37,Kenneth Scott,zsmith@example.net,West Ryan,TN,Bronze,2026-05-14,2026-09-21T01:48:16
38,Lisa Alvarado,cortezkevin@example.com,Nguyenport,OH,Gold,2025-11-01,2026-09-21T01:48:16
39,Jason Bentley,christinaturner@example.net,West Justinchester,WY,Bronze,2026-02-15,2026-09-21T01:48:16
40,Mary Marshall,glowe@example.com,Lake Christopher,NY,Bronze,2026-08-23,2026-09-21T01:48:16
41,Lisa Davis,emilywalker@example.org,North Brandon,NJ,Bronze,2026-07-12,2026-09-21T01:48:16
42,Patricia Gibson,jennifercruz@example.com,East Diana,AL,Bronze,2025-08-19,2026-09-21T01:48:16
43,Shannon Mcclure,zrobinson@example.net,Williamsbury,PW,Silver,2025-12-24,2026-09-21T01:48:16
44,Joyce Solis,stephanie79@example.net,Rivasside,NV,Gold,2026-06-11,2026-09-21T01:48:16
45,Natasha Wells,karen48@example.com,South Christianport,MP,Bronze,2026-05-12,2026-09-21T01:48:29
46,Devon Flores,taylorjesse@example.net,Lake Jason,MT,Bronze,2025-08-18,2026-09-21T01:48:16
47,Joshua Perry,marissaprice@example.net,Port Nicoleshire,MS,Gold,2025-07-01,2026-09-21T01:48:29
48,Tommy Evans,acastaneda@example.net,South Jeffrey,NE,Bronze,2025-07-20,2026-09-21T01:48:16
49,Mr. Michael Yates,marycalhoun@example.net,South Brittanytown,CO,Silver,2025-09-09,2026-09-21T01:48:16
50,Brandy Murray,greenmark@example.com,Matthewfurt,KY,Silver,2026-06-05,2026-09-21T01:48:16
51,Sandra King,ruizkaitlyn@example.org,Jeffreyland,WI,Bronze,2026-04-28,2026-09-21T01:48:16
52,Amanda Johnson,jamessmith@example.org,East Thomas,DE,Bronze,2026-07-22,2026-09-21T01:48:16
53,Claudia Lyons,gary91@example.org,Danieltown,ME,Silver,2025-04-10,2026-09-21T01:48:16
54,Susan Brooks,charlesvaughn@example.net,North Heidi,ME,Silver,2025-07-25,2026-09-21T01:48:16
55,Lindsay Martinez,reedross@example.com,New Deborahtown,PR,Silver,2025-12-28,2026-09-21T01:48:16
56,John Hamilton,cynthia72@example.com,Lake Aimee,SD,Bronze,2026-03-13,2026-09-21T01:48:16
57,Robert Medina,umarshall@example.net,Marcusbury,MP,Bronze,2026-06-18,2026-09-21T01:48:16
58,Diana Hayes,qhudson@example.com,Anthonymouth,HI,Platinum,2025-04-02,2026-09-21T01:48:29
59,Mr. David Ramirez,angela83@example.org,Lake Richard,OH,Platinum,2025-12-24,2026-09-21T01:48:16
60,Melissa Brewer,bwest@example.org,Jeffreybury,ME,Bronze,2025-09-28,2026-09-21T01:48:16
61,Jackie Tran,ronald85@example.com,Nelsonview,IN,Gold,2025-07-16,2026-09-21T01:48:16
62,Corey Wilson,jamesrodgers@example.com,Tinaborough,LA,Gold,2026-01-29,2026-09-21T01:48:16
63,Christopher Smith,joshuamccann@example.net,Heidiberg,SC,Silver,2026-08-31,2026-09-21T01:48:16
64,Katherine Salas,taylor75@example.org,West Shelleyfort,DE,Bronze,2025-09-02,2026-09-21T01:48:16
65,Jennifer Jones,hernandezlisa@example.com,East Davidchester,PA,Bronze,2025-09-11,2026-09-21T01:48:16
66,Lisa Rowe,chayes@example.com,Torreston,RI,Silver,2025-03-30,2026-09-21T01:48:16
67,Annette Farmer,josephmiller@example.org,New Charles,AL,Bronze,2026-08-12,2026-09-21T01:48:16
68,Michael Harrison,halljasmine@example.net,Jonesbury,KS,Gold,2026-04-05,2026-09-21T01:48:16
69,Lori Guerrero,ronaldstephens@example.net,West Margaret,CA,Bronze,2026-02-07,2026-09-21T01:48:16
70,Ricky Larson,scott74@example.net,Benderhaven,ND,Gold,2025-12-01,2026-09-21T01:48:16
